Reporting Period	ID RSSD	UBPR1795	UBPR3123	UBPR4635	UBPRC233	UBPRD582	UBPRE006	UBPRE019	UBPRE020	UBPRE021	UBPRE022	UBPRE023	UBPRE386	UBPRE388	UBPRE390	UBPRE391	UBPRE395	UBPRE397	UBPRE398	UBPRE399	UBPRE400	UBPRE401	UBPRE402	UBPRE404	UBPRE405	UBPRE406	UBPRE407	UBPRE408	UBPRE409	UBPRE410	UBPRE411	UBPRE412	UBPRE413	UBPRE543	UBPRE586	UBPRE587	UBPRE594	UBPRFB60	UBPRFB61	UBPRFB64	UBPRFB66	UBPRFB69	UBPRFB70	
		NET LN&LEASE LOSSES(CHG-OFFS LESS RE	ALLL_AMT	LOSSES CHARGED TO RESERVE	ADJUSTMENTS	LNLS_HFS_WR_DN	PROV_LNLS_ATTR_AA	NET_LNLS_AVG_CYB	NOI_LNLS_CHGFF_CYB	LNLS_LOS_NET	LNLS_LOS_NHFS	LNLS_LOS_TOT	LNLS_CYA	LNLS_RCOV_PREV	LNLS_GRS_LOS_AVG	LNLS_RCOV_CYA_LNLS	LNLS_ALWNC_NACCR	LN_RE_LOS_AVG	ANLR_LN_RE_CML	ANLR_LN_CNSTRC_DV	ANLR_LN_FMLND	ANLR_FAM_LN_RE	ANLR_FAM_LN_LNE	ANLR_LN_FAM_MULT	ANLR_NFARM_NRSD	ANLR_LN_RE_FGN	ANLR_LN_AG	LN_CI_LOS_AVG	ANLR_LS_FIN	LN_LOS_IND_AVG	ANLR_LN_CRCD	LNLS_OTH_LOS_AVG	ANLR_LN_FDN_GOVT	ANLR_CNSTRC_1T4FAM	ANLR_CNSTRC_LAND	ANLR_NFRM_OWNR_OCC	ANLR_NFRM_NRES_OTH	NET LOSS % 1-4 FAM 1ST LIEN LN	NET LOSS % 1-4 FAM JR LIEN LN	NET LOSS % AUTO LN	NET LOSS % FIN INST LN	NET LOSS % LS IND	NET LOSS % OTHR LS	
3/31/2016 11:59:59 PM	14650	-8	519	13	0	0	0.37	-0.16			2.52	2.52	20291	98.82	0.26	0.41	7.86	0		0	0	0			0			-1.94		0.45		0			0	0	0	0	0	0				
3/31/2016 11:59:59 PM	14753	2	494	2	0	0	0	0.03	4	61.75	2.05	2.05	24792	0	0.03	0	4.41	0.13		0	0	0.55			0		0	0		0		0		0		0	0	0.55		0				
3/31/2016 11:59:59 PM	14865	7	3202	14	0	0	0	0.01	193.71	114.36	1.11	1.11	284093	1.88	0.02	0.01	0.42	0.02		-0.05	0	-0.04	0	0	0.07		0	0		0	0	0		0	-0.12	0.11	0	0	-0.7	0				
3/31/2016 11:59:59 PM	14977	1	468	1	0	0	0.26	0.01	87	117	1.42	1.42	33221	0	0.01	0	1.7	0		0	0	0		0	0		0	0		0.1		0		0		0	0	0	0	0				
3/31/2016 11:59:59 PM	16551	50	2514	53	0	0	0.19	0.09	26.86	12.57	1.1	1.1	227241	5.63	0.09	0.01	1.01	0.11		0	0	0.28	0	0	0			-0.02	0	0.04	1.88	0		0	0	0	0	0.32	0	-0.11			0	
3/31/2016 11:59:59 PM	16748	0	659	0	0	0	0.15	0			1.42	1.42	46326		0	0	23.54	0		0	0	0	0	0	0		0	0		0		0		0	0	0	0	0	0	0				
3/31/2016 11:59:59 PM	17110	0	279	0	0	0	0	0			0.41	0.41	68597		0	0		0				0	0					0		0		0						0						
3/31/2016 11:59:59 PM	17147	917	62086	2551	0	0	0.03	0.08	28	16.93	1.32	1.32	4670085	79.01	0.22	0.14	1.69	0.06	0	0	0	0.16	0.05	0.01	0.01		0.09	0.12	0	0.38		0		0	0	-0.45	0.34	0.2	0.24	0.17			0	
3/31/2016 11:59:59 PM	17259	-2	211	0	0	0	0	-0.02			0.59	0.59	35808	25	0	0.02		0	0	0	0	0			0			0	0	-0.16		0		0			0	0	0	-0.6				
3/31/2016 11:59:59 PM	17464	-15	24430	3305	0	0	0	0			1.37	1.37	1720068	378.13	0.77	0.77	2.16	-0.88	-0.95	-0.11	-0.22	-0.14	-0.02	0	-1.4		0	2.99		3.31	3.79	-1.58		0	-0.19	-3.51	0.03	-0.15	-0.7	-0.23				
3/31/2016 11:59:59 PM	17950	16	3710	24	0	0	0.11	0.03	87.94	57.97	1.97	1.96	186781	19.63	0.05	0.02	7.79	0	0	0	0	-0.01	0		0		0	0.34	0	-0.09		0		0	0	0	0	-0.01	0	-0.19			0	
3/31/2016 11:59:59 PM	17978	-181	2645	0	0	0	-0.05	-0.54			1.97	1.97	134807	1765.85	0	0.54	6.98	-0.55		0	0	0	0	-7.39	0					0				0	0	0	0	0	0	0				
3/31/2016 11:59:59 PM	18050	1	4121	27	0	0	0.12	0	2272	1030.25	1.46	1.46	280691	59.43	0.04	0.04	1.62	0		0	0	0	0	0	0		0	0		0.04		0		0	0	0	0	0	0	-0.14				
3/31/2016 11:59:59 PM	18135	-9	1285	15	0	0	0	-0.04			1.49	1.43	88121	171.43	0.07	0.11	0.43	-0.04		0		-0.04	0.06	0	0			-0.05		0					0	0		-0.15	-0.03	0				
