Reporting Period	ID RSSD	UBPR2221	UBPR3128	UBPR3792	UBPR5306	UBPR5310	UBPR5320	UBPR5340	UBPR5610	UBPR8275	UBPRA222	UBPRB594	UBPRB595	UBPRD654	UBPRE642	UBPRE643	UBPRE644	UBPRE645	UBPRE646	UBPRE648	UBPRE649	UBPRE650	UBPRE651	UBPRE652	UBPRE653	UBPRE654	UBPRE659	UBPRE660	UBPRF264	UBPRF859	UBPRF860	
		UNREALIZED GAINS ON A-F-S EQUITY SEC	ALLOCATED TRANSFER RISK RESERVES	TOTAL RISK-BASED CAPITAL	QUALIFYING SUBORDINATED DEBT	ALLL INCLUDIBLE IN TIER2 CAPITAL	TOTAL ASSETS (0% RISK-WEIGHT)	TOTAL ASSETS (100% RISK-WEIGHT)	DEFRD TAX ASSETS DISALWD FOR REGLTRY	TIER 2 CPTL ALLWBL UNDR RISK-BASED	EXCESS ALLOWANCE FOR LN&LEASE LOSSES	OTHER TIER 2 CAPITAL COMPONENTS	DEDUCTIONS FOR TOTL RISK-BASED CAPTL	RWA_OBS_20	EQ_CAP_TOT_ADJ	INTG_INEL	CAP_T1_TOT	RBC_TOT_DED_F	CAP_T3_TOT_LRG	RWA_OBS	RWA_OFBS_20R_100C	RWA_OFBS_50R_100C	RWA_OFBS_100RSK	RWA_OFBS	RWA_OFBS_0	RWA_TOT	ASET_MKT_RSK_LRG	RWA_ADJ_F	CUMULATIVE CHANGE IN FAIR VALUE	CUMULATIVE PREFERRED STOCK	CATEGORY THREE 50 PCT	
3/31/2011 11:59:59 PM	16748	0	0	6384	0	392	12320	21065	0	392	78	0	0	3419	6033	41	5992	6384	0	29053	0	0	2374	2374	0	31427	0	31349	0	0	4569	
3/31/2011 11:59:59 PM	16944	0	0	4139	0	215	2559	9509	0	215	0	0	0	2767	3924	0	3924	4139	0	18007	0	0	0	0	0	18007	0	18008	0	0	5732	
3/31/2011 11:59:59 PM	16953	0	0	5184	0	100	224	14093	0	100	0	0	0	4076	5084	0	5084	5184	0	18169	0	0	0	0	0	18169	0	18169	0	0	0	
3/31/2011 11:59:59 PM	17110	0	0	18716	0	319	412	95152	0	319	0	0	0	2437	18397	0	18397	18716	0	98491	0	0	14143	14143	0	112634	0	112634	0	0	902	
3/31/2011 11:59:59 PM	17147	0	0	444940	0	37547	337314	2506787	22053	37547	43389	0	0	123182	572338	142892	407393	444940	0	2920365	0	645	81961	82606	0	3002971	0	2959582	0	0	290397	
3/31/2011 11:59:59 PM	17259	0	0	6889	0	192	2545	27748	0	192	0	0	0	4529	6697	0	6697	6889	0	38099	0	0	207	207	25	38306	0	38306	0	0	5822	
3/31/2011 11:59:59 PM	17464	6	0	230403	0	16238	223723	1199230	0	16244	27157	0	0	30826	216905	2746	214159	230403	0	1260349	260	0	38414	38674	0	1299023	0	1271866	0	0	30294	
3/31/2011 11:59:59 PM	17950	0	0	24960	0	2121	17192	124442	0	2121	313	0	0	16234	24137	1298	22839	24960	0	167719	0	0	1924	1924	0	169643	0	169330	0	0	27043	
3/31/2011 11:59:59 PM	18050	0	0	39840	0	2533	18773	149527	0	2533	187	0	0	21337	37924	617	37307	39840	0	202679	0	0	538	538	0	203217	0	203030	0	0	31815	
3/31/2011 11:59:59 PM	18135	0	0	20818	0	1535	2342	132812	0	1535	0	0	0	17755	19283	0	19283	20818	0	157820	0	0	714	714	0	158534	0	158534	0	0	7253	
3/31/2011 11:59:59 PM	18377	0	0	3332	0	202	1591	4919	0	202	0	0	0	4234	3130	0	3130	3332	0	17321	0	0	450	450	0	17771	0	17772	0	0	8169	
3/31/2011 11:59:59 PM	18827	0	0	41486	0	3292	2855	182043	0	3292	1142	0	0	17185	39635	1441	38194	41486	0	267981	0	269	2705	2974	0	270955	0	269813	0	0	68753	
3/31/2011 11:59:59 PM	18836	6	0	14641	0	1456	3349	87037	0	1462	977	0	0	4462	13179	0	13179	14641	0	115355	0	0	1095	1095	0	116450	0	115473	0	0	23856	
3/31/2011 11:59:59 PM	18854	0	0	20469	0	1058	31580	114238	0	1058	0	0	0	4139	19411	0	19411	20469	0	124764	0	0	4942	4942	20	129706	0	129706	0	0	6387	
3/31/2011 11:59:59 PM	18957	0	0	1124	0	234	4922	12617	0	234	255	0	0	530	890	0	890	1124	0	16931	0	0	1558	1558	0	18489	0	18235	0	0	3785	
3/31/2011 11:59:59 PM	19356	0	0	8756	0	581	5940	34204	0	581	343	0	0	4752	8175	0	8175	8756	0	46086	0	0	397	397	0	46483	0	46140	0	0	7130	
3/31/2011 11:59:59 PM	19730	0	0	196937	0	22151	285436	1618146	25527	22151	20076	0	0	47806	222530	22217	174786	196937	0	1724036	656	1177	46192	48025	0	1772061	0	1751985	0	0	58084	
3/31/2011 11:59:59 PM	19936	0	0	22235	0	1848	56003	117318	0	1848	1948	0	0	7051	20387	0	20387	22235	0	142220	0	0	5611	5611	0	147831	0	145883	0	0	17851	
3/31/2011 11:59:59 PM	19972	0	0	12950	0	250	34	7502	0	250	0	0	0	8368	12700	0	12700	12950	0	31654	0	0	0	0	0	31654	0	31654	0	0	15784	
3/31/2011 11:59:59 PM	20053	1	0	6550	0	569	411	34469	552	570	586	0	0	3760	8109	1577	5980	6550	0	44645	0	0	10912	10912	0	55557	0	54971	0	0	6416	
3/31/2011 11:59:59 PM	20370	0	0	5340	0	1589	14108	101816	0	1589	936	0	0	3353	3751	0	3751	5340	0	126816	0	0	267	267	0	127083	0	126148	0	0	21648	
3/31/2011 11:59:59 PM	20512	0	0	10144	0	558	5837	25992	0	558	0	0	0	6814	9586	0	9586	10144	0	49819	0	0	127	127	0	49946	0	49947	0	0	17014	
3/31/2011 11:59:59 PM	20633	0	0	29387	0	2867	14195	191556	0	2867	0	0	0	15093	26520	0	26520	29387	0	234253	0	0	980	980	0	235233	0	235233	0	0	27604	
3/31/2011 11:59:59 PM	20857	0	0	15826	0	621	1222	54657	0	621	0	0	0	24777	15347	142	15205	15826	0	85242	0	0	3340	3340	0	88582	0	88583	0	0	5809	
3/31/2011 11:59:59 PM	21256	0	0	1102	0	84	242	4135	0	84	59	0	0	667	1018	0	1018	1102	0	5872	0	0	59	59	0	5931	0	5873	0	0	1071	
3/31/2011 11:59:59 PM	21359	0	0	2462	0	181	4427	10936	0	181	12	0	0	1061	2281	0	2281	2462	0	13913	0	0	599	599	0	14512	0	14500	0	0	1916	
3/31/2011 11:59:59 PM	21630	0	0	7656	0	336	3227	23459	0	336	0	0	0	9451	7320	0	7320	7656	0	38227	0	0	26	26	0	38253	0	38253	0	0	5317	
3/31/2011 11:59:59 PM	21658	0	0	15389	0	1233	923	76932	0	1233	325	0	0	8264	14156	0	14156	15389	0	98316	8	0	276	284	0	98600	0	98276	0	0	13121	
3/31/2011 11:59:59 PM	22048	0	0	19491	0	1600	21239	109677	0	1600	1193	0	0	6743	17891	0	17891	19491	0	127886	0	0	110	110	0	127996	0	126803	0	0	11466	
3/31/2011 11:59:59 PM	22356	4	0	40932	0	2322	32312	148446	0	2326	0	0	0	31366	40536	1930	38606	40932	0	191688	0	0	18508	18508	0	210196	0	210196	0	0	11876	
3/31/2011 11:59:59 PM	22459	0	0	10982	0	954	5240	56776	0	954	141	0	0	3850	10028	0	10028	10982	0	71102	0	0	5245	5245	0	76347	0	76206	0	0	10476	
