Reporting Period	ID RSSD	UBPRE553	UBPRE554	UBPRE555	UBPRE556	UBPRE557	UBPRE558	UBPRE559	UBPRE560	UBPRE561	UBPRE562	UBPRE563	UBPRE564	UBPRE565	UBPRE566	UBPRE567	UBPRE568	UBPRE569	UBPRE570	UBPRE571	UBPRE572	UBPRE573	UBPRE574	UBPRE575	UBPRE576	UBPRE577	UBPRE578	UBPRE579	UBPRE580	UBPRE581	
		LN_SMFAM_PT_TOT_A	LN_SMFAM_PT_O15_A	LN_SMFAM_PT_515_A	LNLS_SEC_OTH_TOT_A	LNLS_SEC_OTH_O15_A	LNLS_SEC_OTH_515_A	LNLS_SEC_PT_O15_A	MBS_TOT_OTH_A	MBS_OTH_O3Y_A	NOTES_STRU_AMRT_A	MTG_FV_A	INT_RT_TOT_OTH_A	SEC_AFS_FV_A	SEC_HTM_BV_A	OFBS_TOT_A	SEC_APDP_URL_HTM_A	SEC_APDP_HRM_T1CAP	LN_SEC_CMO_RP_O3A	DEP_LB_OTH_RP_O3_A	RPRC_NET_3YR_AA	LN_SEC_CMO_RP_O1A	DEP_LB_OTH_RP_O1_A	RPRC_NET_1YR_A	DEP_NMAT_TOT_A	DEP_NMAT_TOT_LA	DEP_NMAT_NET_LA_A	NOTES_STRU_T1CAP	MTG_FV_T1CAP	INT_RT_OTH_T1CAP	
3/31/2015 11:59:59 PM	12946	26.71	4.34	2.09	62.14	4.45	5.86	8.79	1.07	0	0.99	0	0.99	15.01	0	32.31	0	0	44.33	1.83	42.5	66.38	10.71	55.67	48.15	108.61	-3.82	11.55	0	11.55	
3/31/2015 11:59:59 PM	12955	16.08	2.37	0.78	66.09	0	3.31	2.37	0	0	0	0	0	0	0.17	14.41	0	0	35.25	5.43	29.82	55.15	16.24	38.91	63.78	180.92	-28.53	0	0	0	
3/31/2015 11:59:59 PM	13103	34.71	19.55	11.01	53.33	9.29	12.29	28.84	0	0	0	0	0	18.1	0	7.74	0	0	65.96	4.18	61.79	75.38	13.61	61.77	59.83	90.71	6.13	0	0	0	
3/31/2015 11:59:59 PM	13251	10.82	0.35	0.38	46.06	0	1.09	0.35	0	0	0	0	0	3.69	0	8.73	0	0	22.15	0	22.15	33.65	1.55	32.1	68.51	309.26	-46.36	0	0	0	
3/31/2015 11:59:59 PM	13457	0.09	0	0	56.85	3.27	15.34	3.27	0	0	1.88	0	1.88	20.3	0	15.91	0	0	28.7	0	28.7	37.68	1.35	36.33	57.95	201.92	-29.25	8.28	0	8.28	
3/31/2015 11:59:59 PM	14052	23.33	0.74	3.01	54.92	0	9.98	0.74	0.97	0	1.46	0	1.46	12.32	0	5.35	0	0	36.7	0	36.7	59.64	5.82	53.82	67.15	182.94	-30.44	11.68	0	11.68	
3/31/2015 11:59:59 PM	14155	24.52	6.35	3.86	54.46	9.86	12.66	16.21	1.49	1.31	0	0	0	6.43	0	9.95	0	0	45.4	1.82	43.58	59.23	9.13	50.1	68.66	151.23	-23.26	0	0	0	
3/31/2015 11:59:59 PM	14650	6.69	1.35	4.39	61.79	0.41	29.49	1.77	0	0	2.95	0	2.95	0.06	10.18	1.79	0.01	0.09	45.31	0	45.31	58.12	1.57	56.56	72.62	160.28	-27.31	30.08	0	30.08	
3/31/2015 11:59:59 PM	14753	7.12	0.77	2.36	76.7	0.48	20.34	1.25	2.85	0	0	0	0	7.49	30	17.38	0.45	6.18	39.55	0.06	39.49	53.42	3.43	50	60.66	153.36	-21.1	0	0	0	
3/31/2015 11:59:59 PM	14865	3.95	0.66	1.2	80.16	24.82	22.84	25.48	0	0	1.18	0	1.18	3.91	1.25	16.12	0	0	57.75	1.24	56.5	63.05	4.55	58.49	74.19	128.48	-16.45	11.87	0	11.87	
3/31/2015 11:59:59 PM	14977	29.36	0.25	16.62	50.47	3.93	16.74	4.18	0	0	0	0	0	11.49	0.02	16.02	0	0	50.61	0.01	50.6	57.61	5.99	51.62	33.42	66.03	17.19	0	0	0	
3/31/2015 11:59:59 PM	16551	22.5	0.59	5.93	68.77	3.78	22.06	4.37	0.43	0.43	0	0.52	0.52	9.38	7.66	12.3	0.07	0.69	51.81	2.08	49.73	75.76	21.95	53.81	52.06	100.49	-0.25	0	4.93	4.93	
3/31/2015 11:59:59 PM	16748	11.05	3.49	3.61	58.42	3.21	17.33	6.7	5.72	0.79	0	0.5	0.5	11.52	12.73	10.3	0.33	3.21	39.71	2.56	37.15	59.59	10.19	49.4	65.25	164.31	-25.54	0	4.91	4.91	
3/31/2015 11:59:59 PM	16944	21.67	0.45	12.05	57.18	0.43	10.12	0.89	0	0	0	0	0	48.63	0	0.71	0	0	46.04	0.5	45.54	72.18	6.81	65.37	69.03	149.94	-22.99	0	0	0	
3/31/2015 11:59:59 PM	16953	7.23	0	3.82	67	0	33.07	0	0	0	0	0	0	25.91	12.06	0	0.38	2.76	49.66	0	49.66	56.25	6.67	49.58	60.64	122.1	-10.98	0	0	0	
3/31/2015 11:59:59 PM	17110	0.22	0	0	58.28	0	0	0	0	0	0	0	0	11.37	0.1	75	0	0	0	0	0	0.1	0	0.1	0		0	0	0	0	
3/31/2015 11:59:59 PM	17147	17.21	5.71	4.89	64.58	0.63	13.04	6.34	5.57	3.11	0	0.03	0.03	9.15	11.13	28.49	0.33	3.15	38.7	4.81	33.89	51.17	12.08	39.09	60.83	157.18	-22.13	0	0.27	0.27	
3/31/2015 11:59:59 PM	17259	19.82	0	2.05	64.01	1.3	10.9	1.3	0.39	0	1	0	1	23.96	1	1.24	0	0	28.56	0.93	27.63	42.08	14.06	28.02	51.51	180.36	-22.95	11.74	0	11.74	
3/31/2015 11:59:59 PM	17464	13	6.85	3.36	65.2	2.32	26.09	9.17	7.23	5.81	0.01	0.1	0.11	13.36	6.22	20.01	0.22	2.79	56.32	0.63	55.69	69.48	3.39	66.09	76	134.94	-19.68	0.15	1.2	1.34	
3/31/2015 11:59:59 PM	17950	36.7	16.5	12.57	55.2	2.61	13.18	19.11	2.34	2.34	0.11	0	0.11	47.95	0	4.65	0	0	63.8	0.67	63.13	79.65	3.3	76.34	67.8	106.27	-4	1.24	0	1.24	
3/31/2015 11:59:59 PM	17978	29.2	22.56	5.53	63.52	8.29	8.29	30.85	0	0	0	0	0	0	50.47	7.14	0.43	1.31	50.11	3.24	46.87	74.69	12.44	62.25	26.05	51.99	24.06	0	0	0	
3/31/2015 11:59:59 PM	18050	43.12	25.02	15	47.75	15.42	15.98	40.44	0	0	0	0	0	35.04	5.41	6.34	0.19	1.92	74.73	0.06	74.68	79.07	5.19	73.88	66.45	88.91	8.29	0	0	0	
3/31/2015 11:59:59 PM	18135	2.45	0.91	0.08	79.33	2.72	38.01	3.62	0	0	12.53	0	12.53	31.73	13.38	4.91	0.06	0.77	64.14	1.1	63.04	71.44	14.95	56.49	59.58	92.89	4.56	151.76	0	151.76	
3/31/2015 11:59:59 PM	18377	54.93	34.09	5.08	9.54	4.04	2.17	38.12	0	0	0.55	0	0.55	18.15	0	2.81	0	0	46.57	11.36	35.21	48.3	37.01	11.28	33.18	71.25	13.39	7.03	0	7.03	
3/31/2015 11:59:59 PM	18827	24.62	12.31	8.97	52.28	2.07	15.73	14.38	2.95	1.67	0.29	0	0.29	14.36	0	14.42	0	0	51.83	1.91	49.92	63.41	4.8	58.61	77.31	149.17	-25.49	2.94	0	2.94	
3/31/2015 11:59:59 PM	18836	36.81	15.07	9.95	45.42	5.29	12.93	20.37	1.32	0.48	0	0	0	10.46	0	4.87	0	0	55.46	7.39	48.07	71.92	21.36	50.57	41.49	74.81	13.97	0	0	0	
