Reporting Period	ID RSSD	UBPRE304	UBPRE305	UBPRE306	UBPRE307	UBPRE308	UBPRE309	UBPRE310	UBPRE311	UBPRE312	UBPRE313	UBPRE314	UBPRE315	UBPRE316	UBPRE317	UBPRE318	UBPRE319	UBPRE320	UBPRE321	UBPRE322	UBPRE323	UBPRE324	UBPRE325	UBPRE326	UBPRE327	UBPRE328	UBPRE329	UBPRE330	UBPRE331	UBPRE332	UBPRE333	UBPRE334	UBPRE335	UBPRE336	UBPRE337	UBPRE338	UBPRE339	UBPRE341	UBPRE342	UBPRE343	UBPRE344	UBPRHP05	UBPRHP06	UBPRHP07	
		CNTRC_INTRTE_TDER	CNTRC_FGEX_TDER	CNTRC_EQOT_TDER	CNTRC_FUTFWD_TDER	CNTRC_TOT_WO_TDER	CNTRC_EXTR_WO_TDER	CNTRC_OTC_WO_TDER	CNTRC_TOT_PO_TDER	CNTRC_EXTR_PO_TDER	CNTRC_OTC_PO_TDER	CNTRC_TOTSWAP_TDER	CNTRC_TOT_HFT_TDER	CNTRC_INRTHFT_TDER	CNTRC_FGEXHFT_TDER	CNTRC_EQCMHFT_TDER	CNTRC_TOT_NTR_TDER	CNTRC_INRTNTR_TDER	CNTRC_FGEXNTR_TDER	CNTRC_EQCMNTR_TDER	CNTRC_MTMNTR_TDER	CNTRC_RBC_TOT_TDER	CNTRC_LT1YRBC_TDER	CNTRC_1T5YRBC_TDER	CNTRC_OV5YRBC_TDER	CNTRC_NEGTOT_TDN34	CNTRC_POTOT_TDN034	CNTRC_NEGTOT_TIN34	CNTRC_POTOT_T1N034	CNTRC_TOT_HFT_T1	CNTRC_TOT_NTR_T1	CNTRC_MTM_NTR_T1	CR_EXPO_DER_T1	CNTRC_CR_LOS_T1LRG	CNTRC_90PDBV_T1LRG	CR_EXPO_DER_RWADJ	CNTRC_CRLOS_RESLRG	INT_IMPCT_INCNTN34	EXP_IMPCT_INCNTN34	NON_IMPCT_INCNTN34	NET_CHGNT_INCNTN34	NINT RT DRV CNT PCT TOT	HLD TRD NINT RT DRV CNT PCT TOT	NTRD NINT RT DRV CNT PCT TOT	
3/31/2014 11:59:59 PM	23504	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	100	100	0	0	100	100	0	80	20	0.63	0	0	0	0	0.31	0.31	0	0	0	0	0					0	0	0	
3/31/2014 11:59:59 PM	23643																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	23755	100	0	0	100	0	0	0	0	0	0	0	0	0	0	0	100	100	0	0	100	100	100	0	0	0	0	0	0	0	0.05	0.05	0			0						0	0	0	
3/31/2014 11:59:59 PM	24006																											0	0	0	0	0	0	0	0	0	0								
3/31/2014 11:59:59 PM	24378																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	24453																											0	0	0	0	0	0		0	0									
3/31/2014 11:59:59 PM	24659																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	24668																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	24855																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	24949																											0	0	0	0	0	0	0	0	0	0								
3/31/2014 11:59:59 PM	25357																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	25647																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	26176																											0	0	0	0	0	0	0	0	0	0								
3/31/2014 11:59:59 PM	26242																											0	0	0	0	0	0	0	0	0	0								
3/31/2014 11:59:59 PM	26457																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	26765																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	27070																											0	0	0	0	0	0	0	0	0	0								
3/31/2014 11:59:59 PM	27548	100	0	0	11.61	88.39	0	88.39	0	0	0	0	0	0	0	0	100	100	0	0	100	11.61	11.61	0	0	0.18	0.24	0	0	0	0.21	0.21	0	0	0	0	0					0	0	0	
3/31/2014 11:59:59 PM	27614																											0	0	0	0	0	0	0	0	0	0								
3/31/2014 11:59:59 PM	27847																											0	0	0	0	0	0	0	0	0	0								
3/31/2014 11:59:59 PM	28013																											0	0	0	0	0	0	0	0	0	0								
3/31/2014 11:59:59 PM	28152																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	28255																											0	0	0	0	0	0	0	0	0	0								
3/31/2014 11:59:59 PM	28349																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	28406	100	0	0	0	0	0	0	0	0	0	100	100	100	0	0	0	0	0	0	0	100	0	39.7	60.3	0.87	0.86	0.03	0.03	3.15	0	0	0	0	0	0	0					0	0	0	
3/31/2014 11:59:59 PM	28572																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	28675																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	28732																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	29104																											0	0	0	0	0	0	0	0	0	0								
3/31/2014 11:59:59 PM	29476																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	29636																											0	0	0	0	0	0	0	0	0	0								
3/31/2014 11:59:59 PM	29878																											0	0	0	0	0	0	0	0	0	0								
3/31/2014 11:59:59 PM	29953	100	0	0	100	0	0	0	0	0	0	0	0	0	0	0	100	100	0	0	100	100	100	0	0	0	0	0	0	0	0.11	0.11	0			0						0	0	0	
3/31/2014 11:59:59 PM	30052	100	0	0	100	0	0	0	0	0	0	0	0	0	0	0	100	100	0	0	100	100	100	0	0	0	0	0	0	0	0.02	0.02	0			0						0	0	0	
3/31/2014 11:59:59 PM	30418	0	0	100	0	50	0	50	50	0	50	0	0	0	0	0	100	0	0	100	100	50	10.58	39.42	0	15.53	15.53	0.11	0.11	0	0.68	0.68	0.11	0	0	2.57	0					100	0	100	
3/31/2014 11:59:59 PM	30502	100	0	0	100	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	100	100	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0					0	0	0	
3/31/2014 11:59:59 PM	30650																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	30810	100	0	0	0.33	0	0	0	0	0	0	99.67	0	0	0	0	100	100	0	0	100	95.41	25.54	64.2	5.66	0.07	0.51	0	0.01	0	1.06	1.06	0.01	0	0	0.07	0					0	0	0	
3/31/2014 11:59:59 PM	30874	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	100	100	0	0	100	100	0	0	100	5.71	0	0	0	0	0.02	0.02	0	0	0	0	0					0	0	0	
3/31/2014 11:59:59 PM	31134																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	31255																											0	0	0	0	0	0	0	0	0	0								
3/31/2014 11:59:59 PM	31657																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	31826																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	31835																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	32234																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	32766																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	32971																											0	0	0	0	0	0			0									
3/31/2014 11:59:59 PM	33147	100	0	0	38.95	61.05	0	61.05	0	0	0	0	0	0	0	0	100	100	0	0	100	38.95	0	0	38.95	0	0	0	0	0	0.1	0.1	0	0	0	0	0					0	0	0	
3/31/2014 11:59:59 PM	33259	100	0	0	0	100	0	100	0	0	0	0	0	0	0	0	100	100	0	0	100	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0					0	0	0	
